;"полная
форма";"краткая
форма";"сравнительная
степень";"превосходная
степень";одушевлённость;"только
единственное
число"
;"НЕ образуется для
адъектированных причастий и
ГОРАЗД, РАД,
ПОЛНЫМ-ПОЛОН";"Новое прилагательное,
образующее краткую форму,
нужно внести в список 12";"Новое прилагательное,
образующее сравнительную степень,
нужно внести в список 22";"Новое прилагательное,
образующее превосходную степень,
нужно внести в список 27";;
*возбужденный;;;СI1;;;
*одаренный;;;СI1;ПI1;;
**зримый;;;СI1-;;;
**любимый;;;СI1-;ПI1;;
полным-полон;;К1#*;;;;
горазд;;К1*;;;;
*почтенный;;К1е;СI1;ПI1;;
*благоустроенный;;К6;;;;
*аргументированный;;К6;СI1;;;
*изощренный;;К6;СI1;ПI1;;
*смиренный;;К6+1е;СI1;;;
безмужний;I1;;;;;
древний;I1;;СI1;ПI1;;
поздний;I1;;СI1&II4ж;ПI1;;
синий;I1;К5;СI1;;;
бескрайний;I1;К5#е;;;;
двусторонний;I1;К5е;;;;
неискренний;I1;К5е;СI1;;;
искренний;I1;К5е;СI1;ПI1;;
излишний;I1;К5мн;;;;
выспренний;I1;К7;СI1;;;
преисподняя;I1ж;;;;;е
августейший;I2;;;;;
лучший;I2;;СII1;;;
нехороший;I2;К2;;;;
горячий;I2;К2;СI1;;;
свежий;I2;К2;СI1;ПII1;;
бесстыжий;I2;К4;;;;
везучий;I2;К4;СI1;;;
быстропортящийся;I2*;;;;;
бракосочетавшийся;I2*;;;;о;
военнослужащий;I2-с;;;;о;
купчая;I2ж;;;;;
первородящая;I2ж;;;;о;
возничий;I2м;;;;о;
всевышний;I2м;;;;о;е
млекопитающее;I2с;;;;о;
аббатский;I3;;;;;
пожарский;I3;;;;о;
отлогий;I3;;СII3ж;;;
безликий;I3;К2;;;;
великий;I3;К2;;ПII4ч;;
высокий;I3;К2;СII10ш;ПII4ч;;
далекий;I3;К2;СII12ш;;;
широкий;I3;К2;СII2;ПII4ч;;
пологий;I3;К2;СII3ж;;;
строгий;I3;К2;СII3ж;ПII2ж;;
глубокий;I3;К2;СII4ж;ПII4ч;;
жестокий;I3;К2;СII5ч;ПII4ч;;
тихий;I3;К2;СII8ш;ПII8ш;;
белехонький;I3;К2#е;;;;
бойкий;I3;К2#е;СII5ч;;;
горький;I3;К2#е;СII6ч&9ш;ПII5ч;;
экий;I3;К2-м;;;;
тяжкий;I3;К2е;СII5ч;ПII7ч;;
броский;I3;К2о;;;;
мерзкий;I3;К2о;СI2&II5ч;ПI2;;
долгий;I3;К2о;СII11ш;;;
тонкий;I3;К2о;СII11ш;ПII4ч;;
плоский;I3;К2о;СII13щ;;;
сладкий;I3;К2о;СII13щ;ПII4ч;;
гадкий;I3;К2о;СII4ж;;;
близкий;I3;К2о;СII4ж;ПII3ж;;
редкий;I3;К2о;СII4ж;ПII4ч;;
верткий;I3;К2о;СII5ч;;;
краткий;I3;К2о;СII5ч;ПII4ч;;
хлесткий;I3;К2о;СII5ч&14щ;;;
жалкий;I3;К2о;СII5ч&7ч;;;
короткий;I3;К2о;СII6ч;;;
мелкий;I3;К2о;СII7ч;ПII6ч;;
аккуратненький;I3;К5мн;;;;
достоевский;I3-с;;;;о;
дворецкий;I3м;;;;о;
многое;I3с;;;;;
некий;I4;;;;;
n-ный;II1;;;;;
преподобный;II1;;;;о;
отборный;II1;;;ПI1;;
взрослый;II1;;СI1;;;
говенный;II1;;СI1;ПI1;;
восточный;II1;;СI1-;;;
аляповатый;II1;К1;;;;
всемилостивый;II1;К1;;ПI1;;
алый;II1;К1;СI1;;;
белый;II1;К1;СI1;ПI1;;
красивый;II1;К1;СI1&II10ш;ПI1;;
дешевый;II1;К1;СI1&II15л;ПI1;;
частый;II1;К1;СII13щ;;;
толстый;II1;К1;СII13щ;ПI1;;
твердый;II1;К1;СII3ж;ПI1;;
богатый;II1;К1;СII5ч;ПI1;;
аварийный;II1;К1#е;;;;
впечатлительный;II1;К1#е;;ПI1;;
антиморальный;II1;К1#е;СI1;;;
актуальный;II1;К1#е;СI1;ПI1;;
достойный;II1;К1#и;СI1;ПI1;;
соленый;II1;К1&1#о;СI1&3о;;;
острый;II1;К1+1е;СI1;ПI1;;
гротескный;II1;К1-м;СI1;;;
автобиографичный;II1;К1е;;;;
бесценный;II1;К1е;;ПI1;;
авантажный;II1;К1е;СI1;;;
абсолютный;II1;К1е;СI1;ПI1;;
неполный;II1;К1о;;;;
полный;II1;К1о;СI1;ПI1;;
атрофированный;II1;К6;;;;
безболезненный;II1;К6;СI1;;;
бессмысленный;II1;К6;СI1;ПI1;;
вымышленный;II1;К6&8;;;;
отчужденный;II1;К6&8;СI1;;;
изможденный;II1;К6&8;СI1;ПI1;;
антихудожественный;II1;К6+1е;;;;
высококачественный;II1;К6+1е;;ПI1;;
антиобщественный;II1;К6+1е;СI1;;;
безнравственный;II1;К6+1е;СI1;ПI1;;
взаимосвязанный;II1;К8;;;;
буденный;II1-с;;;;о;
грим-уборная;II1ж;;;;;
подноготная;II1ж;;;;;е
бесприданная;II1ж;;;;о;
авторулевой;II1м;;;;;
высокопреосвященный;II1м;;;;о;
видеоданные;II1мн;;;;;
пирожное;II1с;;;;;
поличное;II1с;;;;;е
насекомое;II1с;;;;о;
ало-голубой;II2;;;;;
смурной;II2;;СI1;;;
босой;II2;К1;;;;
гнилой;II2;К1;СI1;;;
живой;II2;К1;СI1;ПI1;;
худой;II2;К1;СI1&II3ж;ПI1;;
густой;II2;К1;СII13щ;ПI1;;
молодой;II2;К1;СII3ж;;;
крутой;II2;К1;СII5ч;ПI1;;
тяжелобольной;II2;К1#е;;;;
больной;II2;К1#е;СI1;;;
голубой;II2;К1-м;СI1;;;
недурной;II2;К1е;;;;
чудной;II2;К1е;СI1;;;
дрянной;II2;К1е;СI1;ПI1;;
злой;II2;К1о;СI1;ПI1;;
наркобольной;II2-с;;;;о;
автозаводской;II3;;;;;
драгой;II3;;;ПII2ж;;
большой;II3;;СII1;;;
благой;II3;К2;;;;
дорогой;II3;К2;СII3ж;;;
глухой;II3;К2;СII8ш;;;
меньшой;II3-с;;;;о;
мехмастерская;II3ж;;;;;
бологое;II3с;;;;;е
багроволицый;II4;;;;;
круглолицый;II4;К3;;;;
авгиев;III1;;;;;
базедова;III1ж;;;;;е
бикфордов;III1м;;;;;
саргассово;III1с;;;;;е
анютин;III2;;;;;
акулий;III3;;;;;
господень;III4#;;;;;
антонов;IIIф;;;;о;
кабельтов;IIIфм;;;;;
